id	category	input_pattern	expected_output	output_type	status	notes
JSX-001	Basic JSX	<div>Hello</div>	<div>Hello</div>	preserve	✅ Implemented	Text content preserved
JSX-002	Basic JSX	<div>\n  Hello\n</div>	<div>Hello</div>	markedJsx	✅ Implemented	Indentation whitespace removed
JSX-003	Basic JSX	<div>{' '}</div>	<div> </div>	markedJsx	✅ Implemented	Explicit space preserved
JSX-004	Basic JSX	<div><p>A</p><span>B</span></div>	<div><p>A</p><span>B</span></div>	preserve	✅ Implemented	Nested elements preserved
JSX-005	Basic JSX	<input type='text' />	<input type='text' />	preserve	✅ Implemented	Self-closing preserved
JSX-006	Basic JSX	<br />	<br />	preserve	✅ Implemented	Void element supported
JSX-007	Basic JSX	<img src='x.png' alt='X' />	<img src='x.png' alt='X' />	preserve	✅ Implemented	Attrs on void element
JSX-008	Basic JSX	<></>	<></>	preserve	✅ Implemented	Empty fragment
JSX-009	Basic JSX	<><p>A</p><p>B</p></>	<><p>A</p><p>B</p></>	preserve	✅ Implemented	Fragment with children
JSX-010	Basic JSX	<><p>{count()}</p></>	<><p data-bf-scope='C' data-bf='0'>{count()}</p></>	both	✅ Implemented	First element gets scope marker
JSX-011	Basic JSX	<><><span>A</span></><div>B</div></>	<><span>A</span><div>B</div></>	markedJsx	✅ Implemented	Nested fragments flattened
JSX-012	Basic JSX	<>Hello<span>World</span>!</>	<>Hello<span>World</span>!</>	preserve	✅ Implemented	Mixed text and elements
JSX-013	Basic JSX	<><div>Only</div></>	<><div data-bf-scope='C'>Only</div></>	markedJsx	✅ Implemented	Single child gets scope
ATTR-001	Attributes	<div id='main'>X</div>	<div id='main'>X</div>	preserve	✅ Implemented	Static string attr preserved
ATTR-002	Attributes	<input disabled />	<input disabled />	preserve	✅ Implemented	Boolean shorthand
ATTR-003	Attributes	<div class='foo'>X</div>	<div className='foo'>X</div>	markedJsx	✅ Implemented	class -> className
ATTR-004	Attributes	<svg>...</svg>	<svg xmlns='http://www.w3.org/2000/svg'>...</svg>	markedJsx	✅ Implemented	SVG gets xmlns
ATTR-005	Attributes	<svg viewBox='0 0 24 24'>	<svg viewBox='0 0 24 24'>	preserve	✅ Implemented	camelCase preserved
ATTR-010	Attributes	<p class={active ? 'on' : 'off'}>X</p>	clientJs: _0.setAttribute('class', active ? 'on' : 'off')	clientJs	✅ Implemented	Dynamic class in effect
ATTR-011	Attributes	<p style={{ color: isRed() ? 'red' : 'blue' }}>X</p>	clientJs: Object.assign(_0.style, {...})	clientJs	✅ Implemented	Style object assignment
ATTR-012	Attributes	<p style={styleStr}>X</p>	clientJs: _0.style.cssText = styleStr	clientJs	✅ Implemented	Style string attribute with E2E test
ATTR-013	Attributes	<button disabled={loading()}>Go</button>	clientJs: _0.disabled = loading()	clientJs	✅ Implemented	Boolean property
ATTR-014	Attributes	<input value={text()} />	clientJs: if (__val !== undefined) _0.value = __val	clientJs	✅ Implemented	Value with undefined check
ATTR-015	Attributes	<div hidden={isHidden()}>X</div>	clientJs: _0.hidden = isHidden()	clientJs	✅ Implemented	Hidden property
ATTR-016	Attributes	<input checked={isOn()} />	clientJs: _0.checked = isOn()	clientJs	✅ Implemented	Checked property
ATTR-017	Attributes	<div data-id={id()}>X</div>	clientJs: _0.setAttribute('data-id', id())	clientJs	✅ Implemented	Data attribute with E2E test
ATTR-018	Attributes	<p class={a() ? b() : c()}>X</p>	clientJs: createEffect(() => _0.setAttribute('class', ...))	clientJs	✅ Implemented	Complex ternary in effect
ATTR-020	Attributes	<div {...props}>X</div>	<div {...props}>X</div>	preserve	✅ Implemented	Spread preserved
ATTR-021	Attributes	<div {...a} {...b}>X</div>	<div {...a} {...b}>X</div>	preserve	✅ Implemented	Multiple spreads
ATTR-022	Attributes	<div id='x' {...props}>X</div>	<div id='x' {...props}>X</div>	preserve	✅ Implemented	Static + spread
ATTR-023	Attributes	<input {...props} />	<input {...props} />	preserve	✅ Implemented	Spread on self-closing
EXPR-001	Expressions	const [count, setCount] = createSignal(0)	clientJs: const [count, setCount] = createSignal(0)	clientJs	✅ Implemented	Number signal extracted
EXPR-002	Expressions	const [on, setOn] = createSignal(false)	clientJs: const [on, setOn] = createSignal(false)	clientJs	✅ Implemented	Boolean signal
EXPR-003	Expressions	const [text, setText] = createSignal('hi')	clientJs: const [text, setText] = createSignal('hi')	clientJs	✅ Implemented	String signal
EXPR-004	Expressions	const [a] = createSignal(0); const [b] = createSignal(1)	clientJs: both signals extracted	clientJs	✅ Implemented	Multiple signals
EXPR-005	Expressions	const [user, setUser] = createSignal({name: 'A'})	clientJs: const [user, setUser] = createSignal({name: 'A'})	clientJs	✅ Implemented	Object signal
